delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,400,unexp,2,7,31,2,193.95648569986224,,193.94197159982286,193.95648569986224,194.95646059978753,194.95646059978753,194.95646059978753,195.67620119987987,space,0.7076787000987679,None,195.67709899996407,196.39015466656227,196.6999195998069,196.68546199984848,196.68550039990805,196.6999195998069,196.6999195998069,196.6999195998069,201.0243116999045,100,1,[4.336773399962112],[4.336783099919558],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,2,8,32,7,201.03968269983307,,201.0250883998815,201.03968269983307,202.0395281999372,202.0395281999372,202.0395281999372,202.70760759990662,space,0.6655343000311404,None,202.70821419986896,203.12334686663624,203.436113699805,203.42499179998413,203.42502009985037,203.436113699805,203.436113699805,203.436113699805,207.54149829992093,400,1,[4.114838100038469],[4.114849899895489],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,2,9,33,9,207.5564001998864,,207.54245579987764,207.5564001998864,208.55627469997853,208.55627469997853,208.55627469997853,209.3916919999756,space,0.8292417000047863,None,209.3925105999224,209.50605736655805,209.8173238998279,209.80586869991384,209.80591789982282,209.8173238998279,209.8173238998279,209.8173238998279,212.75807709991932,500,1,[2.9497364999260753],[2.949755100067705],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,2,10,34,11,212.7724110998679,,212.7594426998403,212.7724110998679,213.77263819985092,213.77263819985092,213.77263819985092,214.27459389995784,space,0.49952790001407266,None,214.27532189991325,214.98970486649003,215.298376099905,215.28517279983498,215.2852141999174,215.298376099905,215.298376099905,215.298376099905,218.1573658999987,600,1,[2.8697965000756085],[2.869813600089401],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,2,11,35,3,218.17245720000938,,218.15857579978183,218.17245720000938,219.17278459994122,219.17278459994122,219.17278459994122,219.84088309993967,space,0.6536024000961334,None,219.84170379978605,219.9561129664692,220.2703660998959,220.25584759982303,220.25590759981424,220.2703660998959,220.2703660998959,220.2703660998959,222.7426148999948,600,1,[2.4838147999253124],[2.483856200007722],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,3,0,36,5,222.75629599997774,,222.74366909987293,222.75629599997774,223.75649589998648,223.75649589998648,223.75649589998648,224.25738369999453,space,0.4886118001304567,None,224.25800969987176,224.97250236646894,225.28310249978676,225.27259099995717,225.2726252998691,225.28310249978676,225.28310249978676,225.28310249978676,228.1575029999949,650,1,[2.883225900121033],[2.8832372000906616],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,3,1,37,9,228.1727310998831,,228.15848309989087,228.1727310998831,229.1721753999591,229.1721753999591,229.1721753999591,230.1407581998501,space,0.9666452999226749,None,230.14142709993757,230.25551246648345,230.567363999784,230.5553536999505,230.5553996998351,230.567363999784,230.567363999784,230.567363999784,233.0737705999054,600,1,[2.516113599995151],[2.5161252999678254],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,400,unexp,3,2,38,0,233.08898049988784,,233.0748496998567,233.08898049988784,234.08874449995346,234.08874449995346,234.08874449995346,234.60760439978912,space,0.513398899929598,None,234.60824679979123,234.72289016662788,235.0359791999217,235.02501759980805,235.0250479998067,235.0359791999217,235.0359791999217,235.0359791999217,237.33991929981858,300,1,[2.313021899899468],[2.3130322999786586],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,3,3,39,3,237.35512119997293,,237.34088579984382,237.35512119997293,238.35568019980565,238.35568019980565,238.35568019980565,239.291431899881,space,0.9226179998368025,None,239.2925761998631,239.4058757664791,239.7163507998921,239.7050713999197,239.70511519978754,239.7163507998921,239.7163507998921,239.7163507998921,242.00636100000702,400,1,[2.2994053000584245],[2.2994132998865098],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,3,4,40,11,242.0216162998695,,242.00731069990434,242.0216162998695,243.02230189996772,243.02230189996772,243.02230189996772,243.69106639991514,space,0.6663490000646561,None,243.69187559979036,244.40561096655827,244.71795889991336,244.70508369989693,244.70515890000388,244.71795889991336,244.71795889991336,244.71795889991336,248.82311529992148,600,1,[4.115471600089222],[4.115482500055805],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
